,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1251307,3,25,2,1124,1115,1221,1215,17.0,1091.0,4804.0,57,60,45,0,9,275.0,179.0,251,5,7,0,0,0,0,0
4750566,8,9,6,1152,1130,1555,1520,1.0,1685.0,2952.0,183,170,153,1,22,81.0,186.0,1121,7,23,22,0,13,0,0
6773048,12,13,6,1226,1210,1405,1355,7.0,5607.0,3956.0,99,105,79,0,16,51.0,18.0,528,7,13,0,0,0,0,0
58354,1,21,1,2046,1950,2158,2045,17.0,1270.0,3269.0,132,115,103,1,56,80.0,155.0,629,4,25,7,0,17,0,49
6648930,12,26,5,1759,1709,2026,1937,14.0,6168.0,3916.0,87,88,71,1,50,80.0,206.0,495,3,13,0,0,0,0,49
4023045,7,14,1,1818,1800,2043,2015,11.0,4002.0,4597.0,85,75,48,1,18,210.0,64.0,296,11,26,18,0,10,0,0
4012679,7,30,3,1545,1335,1718,1450,11.0,3604.0,2359.0,93,75,60,1,130,81.0,259.0,364,8,25,122,0,18,0,8
3024615,6,11,3,802,755,1027,1035,17.0,3486.0,1845.0,145,160,135,0,7,179.0,249.0,1036,2,8,0,0,0,0,0
4733224,8,29,5,2034,1930,1,2305,1.0,1054.0,2919.0,147,155,129,1,64,210.0,177.0,1005,4,14,0,0,6,0,50
5543786,10,8,3,2027,2010,2123,2115,14.0,3804.0,4365.0,116,125,100,0,17,267.0,204.0,588,5,11,0,0,0,0,0
3739595,7,2,3,819,724,914,830,19.0,7088.0,4002.0,115,126,94,1,55,281.0,210.0,607,7,14,44,0,0,0,0
4381839,8,26,2,1433,1300,1845,1646,19.0,2673.0,5098.0,192,166,145,1,93,250.0,63.0,1095,22,25,119,0,0,0,0
6832716,12,1,1,1616,1500,1716,1610,11.0,3922.0,2465.0,120,130,103,1,76,79.0,210.0,612,7,10,0,0,6,0,60
4807950,8,28,4,1239,1200,1421,1404,5.0,1430.0,1338.0,282,304,253,1,39,96.0,220.0,2133,11,18,17,0,0,0,0
3556815,6,10,2,955,925,1102,1030,5.0,412.0,4185.0,67,65,46,1,30,81.0,136.0,224,4,17,0,0,2,0,30
420492,1,8,2,1004,955,1111,1110,11.0,4803.0,3690.0,67,75,46,0,9,37.0,162.0,185,7,14,0,0,0,0,0
5437171,10,19,7,1557,1550,1702,1655,17.0,214.0,1210.0,65,65,36,0,7,155.0,209.0,197,4,25,0,0,0,0,0
513569,1,2,3,1019,1005,1152,1140,1.0,1652.0,1779.0,153,155,118,1,14,18.0,81.0,732,12,23,0,0,0,0,0
4668535,8,14,4,1850,1730,11,2256,12.0,308.0,1471.0,201,206,187,1,80,157.0,199.0,1536,3,11,7,0,0,0,68
3804638,7,16,3,1546,1537,1848,1846,14.0,5876.0,4077.0,122,129,104,0,9,80.0,249.0,794,6,12,0,0,0,0,0
1353994,3,5,3,1404,1355,1721,1730,14.0,6643.0,3922.0,137,155,125,0,9,93.0,80.0,997,5,7,0,0,0,0,0
5978327,11,14,5,1858,1810,2018,1940,17.0,414.0,1840.0,80,90,71,1,48,175.0,76.0,461,3,6,1,0,0,0,37
705524,2,19,2,2108,1955,2315,2227,18.0,2388.0,553.0,127,152,110,1,73,96.0,293.0,631,3,14,0,0,0,0,48
2127946,4,13,7,1132,1126,1234,1229,7.0,4877.0,4446.0,62,63,44,0,6,50.0,18.0,191,7,11,0,0,0,0,0
2420216,5,12,1,1820,1800,2008,2005,17.0,2553.0,1682.0,108,125,98,0,20,220.0,258.0,651,4,6,0,0,0,0,0
3544259,6,13,5,2101,2050,2230,2227,4.0,1285.0,763.0,89,97,72,0,11,37.0,240.0,474,5,12,0,0,0,0,0
6269558,11,24,1,1514,1506,1703,1648,9.0,184.0,5142.0,109,102,91,1,8,248.0,18.0,515,9,9,8,0,7,0,0
4462869,8,21,4,936,930,1147,1152,15.0,277.0,1974.0,251,262,207,0,6,162.0,80.0,1619,5,39,0,0,0,0,0
4097686,7,9,3,736,700,1023,955,1.0,57.0,1604.0,347,355,320,1,36,150.0,258.0,2586,3,24,28,0,0,0,0
6504857,12,15,1,937,930,1509,1530,17.0,1252.0,829.0,212,240,199,0,7,204.0,179.0,1844,5,8,0,0,0,0,0
2673809,5,23,5,1954,1945,2215,2211,16.0,965.0,4966.0,141,146,115,0,9,219.0,177.0,861,8,18,0,0,0,0,0
1087732,2,18,1,1931,1905,2138,2130,1.0,1672.0,2972.0,247,265,227,0,26,210.0,270.0,1726,7,13,0,0,0,0,0
737576,2,15,5,1944,1934,2052,2032,19.0,2852.0,5341.0,68,58,26,1,10,220.0,103.0,119,2,40,20,0,0,0,0
6569888,12,14,7,2104,2005,2327,2204,18.0,2660.0,483.0,143,119,88,1,59,87.0,96.0,487,34,21,0,0,24,0,59
758099,2,18,1,1810,1755,2020,2012,13.0,5430.0,5226.0,130,137,121,0,15,13.0,73.0,623,3,6,0,0,0,0,0
1378118,3,20,4,1107,1040,1215,1134,14.0,5495.0,1127.0,68,54,34,1,27,157.0,269.0,135,4,30,41,0,0,0,0
6545087,12,28,7,2052,2015,1,2325,17.0,3483.0,2184.0,189,190,172,1,37,185.0,177.0,1142,7,10,36,0,0,0,0
1559189,3,30,7,1153,1143,1238,1234,10.0,180.0,2215.0,45,51,31,0,10,129.0,145.0,216,4,10,0,0,0,0,0
3490371,6,4,3,1620,1600,1853,1845,1.0,872.0,1855.0,93,105,72,0,20,2.0,81.0,569,10,11,0,0,0,0,0
5065592,9,10,3,1449,1429,1602,1557,15.0,1195.0,1937.0,73,88,54,0,20,24.0,135.0,326,7,12,0,0,0,0,0
4101472,7,22,2,1747,1730,2008,1910,1.0,343.0,2597.0,201,160,126,1,17,162.0,210.0,733,5,70,0,0,41,0,17
3989609,7,27,7,1704,1647,1743,1732,9.0,545.0,5007.0,99,105,73,1,17,18.0,34.0,533,2,24,0,0,0,0,0
2933391,5,2,5,2115,1950,2313,2147,4.0,1220.0,1097.0,118,117,98,1,85,238.0,37.0,612,5,15,0,0,86,0,0
6778984,12,21,7,1627,1540,1857,1825,7.0,5055.0,3556.0,90,105,75,1,47,287.0,73.0,646,9,6,1,0,0,0,31
838125,2,5,2,1333,1315,1416,1400,15.0,1091.0,1863.0,103,105,81,1,18,287.0,80.0,541,10,12,0,0,0,0,16
3622230,7,8,2,2025,1950,2253,2225,17.0,536.0,2193.0,148,155,135,1,35,177.0,143.0,972,5,8,0,0,14,0,14
3358091,6,14,6,1403,1315,1627,1533,9.0,522.0,5187.0,84,78,54,1,48,181.0,18.0,332,7,23,0,0,54,0,0
3575735,6,5,4,1837,1723,2108,2008,5.0,1073.0,414.0,211,225,181,1,74,219.0,136.0,1324,5,25,0,0,0,0,60
