,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,"139,9000","-2,91","142,6000","139,4000",91.429,"12.822,58",20/09/2021,Cierre
1,ACERINOX,"11,1550","-4,08","11,4200","11,0150",1.053.296,"11.776,89",20/09/2021,Cierre
2,ACS,"22,5200","-1,23","22,6100","21,9500",1.170.359,"26.206,33",20/09/2021,Cierre
3,AENA,"137,0500","2,20","137,8500","130,0000",191.076,"25.910,45",20/09/2021,Cierre
4,ALMIRALL,"14,3300","0,00","14,3300","14,0900",284.496,"4.042,72",20/09/2021,Cierre
5,AMADEUS,"54,9000","4,02","55,7800","52,0000",1.699.520,"92.178,69",20/09/2021,Cierre
6,ARCELORMIT.,"25,1200","-7,70","26,5000","24,9300",1.851.197,"47.161,31",20/09/2021,Cierre
7,B.SANTANDER,"2,8940","-4,80","3,0050","2,8810",73.908.097,"216.075,23",20/09/2021,Cierre
8,BA.SABADELL,"0,6154","-3,66","0,6240","0,6006",36.046.201,"22.083,92",20/09/2021,Cierre
9,BANKINTER,"4,8140","-3,26","4,9030","4,6910",3.586.815,"17.191,29",20/09/2021,Cierre
10,BBVA,"5,2480","-7,48","5,5890","5,2480",51.902.596,"279.266,90",20/09/2021,Cierre
11,CAIXABANK,"2,4820","-4,10","2,5500","2,4630",13.086.401,"32.653,69",20/09/2021,Cierre
12,CELLNEX,"57,9400","-0,21","58,1400","57,2400",1.581.945,"91.569,14",20/09/2021,Cierre
13,CIE AUTOMOT.,"21,3200","-2,56","21,7200","21,3000",242.570,"5.204,35",20/09/2021,Cierre
14,ENAGAS,"18,8500","1,37","18,9950","18,4050",937.435,"17.578,89",20/09/2021,Cierre
15,ENDESA,"18,1000","-0,66","18,1550","17,6500",2.466.658,"44.390,02",20/09/2021,Cierre
16,FERROVIAL,"24,7800","1,23","24,8600","23,8800",1.170.982,"28.591,65",20/09/2021,Cierre
17,FLUIDRA,"35,7500","0,70","35,9000","34,8000",624.653,"22.164,01",20/09/2021,Cierre
18,GRIFOLS CL.A,"22,2000","1,74","22,2000","21,5500",1.524.929,"33.568,95",20/09/2021,Cierre
19,IAG,"1,9375","10,68","1,9435","1,7410",47.593.131,"89.144,93",20/09/2021,Cierre
20,IBERDROLA,"9,2620","-0,98","9,3340","9,1400",21.749.717,"201.385,23",20/09/2021,Cierre
21,INDITEX,"31,7700","0,19","31,9900","30,9100",5.726.289,"180.217,64",20/09/2021,Cierre
22,INDRA A,"9,1950","-1,39","9,2450","8,9750",572.170,"5.229,51",20/09/2021,Cierre
23,INM.COLONIAL,"8,7200","-0,23","8,7550","8,5450",499.671,"4.336,37",20/09/2021,Cierre
24,MAPFRE,"1,7600","-3,93","1,8030","1,7580",4.046.801,"7.178,10",20/09/2021,Cierre
25,MELIA HOTELS,"5,9340","1,19","5,9900","5,6600",1.200.919,"7.016,95",20/09/2021,Cierre
26,MERLIN,"9,1620","0,17","9,1920","9,0100",616.823,"5.619,60",20/09/2021,Cierre
27,NATURGY,"21,4800","-0,51","21,5800","21,3800",1.821.798,"39.131,08",20/09/2021,Cierre
28,PHARMA MAR,"78,5000","0,72","78,9600","76,8000",64.418,"5.034,26",20/09/2021,Cierre
29,R.E.C.,"17,3600","1,52","17,3650","17,0000",1.533.665,"26.530,46",20/09/2021,Cierre
30,REPSOL,"9,9790","-0,65","10,0140","9,7360",8.497.675,"83.852,73",20/09/2021,Cierre
31,SIEMENS GAME,"22,2500","0,59","22,4200","21,2900",2.204.043,"48.407,74",20/09/2021,Cierre
32,SOLARIA,"14,3200","-2,62","14,6050","14,0600",876.037,"12.560,25",20/09/2021,Cierre
33,TELEFONICA,"4,1175","-1,29","4,1285","4,0815",17.172.158,"70.861,13",20/09/2021,Cierre
34,VISCOFAN,"58,7500","-1,59","59,4500","58,7000",51.160,"3.015,09",20/09/2021,Cierre
